cidade,long,lat,alt,uf
LAMARÃO,-38.89298033,-11.79157774,290.423336,BAHIA
SERRINHA,-39.00813263,-11.65953172,382.740845,BAHIA
TEOFILÂNDIA,-39.00581286,-11.48292463,377.696056,BAHIA
ARACI,-38.96095816,-11.33572787,267.938939,BAHIA
NORDESTINA,-39.42913085,-10.83205352,327.679125,BAHIA
QUIJINGUE,-39.20660925,-10.75167233,358.65732,BAHIA
ANDORINHA,-39.8323357,-10.34424004,414.549904,BAHIA
MONTE SANTO,-39.33270595,-10.44015774,488.987839,BAHIA
EUCLIDES DA CUNHA,-39.01424873,-10.50581806,474.018248,BAHIA
UAUÁ,-39.48806417,-9.832654165,447.977992,BAHIA
CANUDOS,-39.02407124,-9.890672961,373.686414,BAHIA
BIRITINGA,-38.81215892,-11.62011026,256.067065,BAHIA
SÁTIRO DIAS,-38.59135378,-11.60080905,241.754491,BAHIA
INHAMBUPE,-38.35401927,-11.78912746,173.2011,BAHIA
NOVA SOURE,-38.48461393,-11.2380082,161.417536,BAHIA
OLINDINA,-38.3310802,-11.35830614,133.809534,BAHIA
ITAPICURU,-38.21861238,-11.3109527,156.011359,BAHIA
TUCANO,-38.785948,-10.96430017,212.610805,BAHIA
RIBEIRA DO POMBAL,-38.53609879,-10.83627807,227.581937,BAHIA
CIPÓ,-38.5171294,-11.10114356,131.048217,BAHIA
RIBEIRA DO AMPARO,-38.43055387,-11.03915828,154.651262,BAHIA
HELIÓPOLIS,-38.28023304,-10.67529879,301.301488,BAHIA
APORÁ,-38.07999535,-11.65539429,190.109812,BAHIA
ESPLANADA,-37.94498147,-11.7994095,157.060559,BAHIA
ACAJUTIBA,-38.01828637,-11.66261283,183.928384,BAHIA
CRISÓPOLIS,-38.15171582,-11.51778992,183.218234,BAHIA
RIO REAL,-37.93357778,-11.48493543,173.641951,BAHIA
JANDAÍRA,-37.78686849,-11.56574847,151.192865,BAHIA
